A,B,R,Y
4,2,76,0
4,2,77,0
4,2,78,0
4,2,79,0
4,2,80,0
4,2,81,0
4,2,82,0
4,2,83,0
4,2,84,0
4,2,85,0
4,2,86,0
4,2,87,0
4,2,88,0
4,2,89,0
4,2,90,0
4,2,91,0
4,2,92,0
4,2,93,0
4,2,94,0
4,2,95,0
4,2,96,0
4,2,97,0
4,2,98,0
4,2,99,1
4,2,100,1
4,2,101,1
4,2,102,1
4,2,103,1
4,2,104,1
4,2,105,1
4,2,106,1
4,2,107,1
4,2,108,1
4,2,109,1
4,2,110,1
4,2,111,1
4,2,112,1
4,2,113,1
4,2,114,1
4,2,115,1
4,2,116,1
4,2,117,1
4,2,118,1
4,2,119,1
4,2,120,1
